hash_id,product_title,product_description,product_photo
b056eb1587586b71e2da9acfe4fbd19e,لپ تاپ اچ پی دی وی 6-1390,,"[""4bff4c181cd4fb4c9424afd331f40ff7955110aa_1674386117"", 1, 2500, 2500, ""jpg"", [3], []]"
b137fdd1f79d56c7edf3365fea7520f2,لپ تاپ اچ پی دی وی 6-1205,,"[""ec6ca9a017f52139d708b36f44044c83ab7d2fce_1674386124"", 1, 2500, 2500, ""jpg"", [3], []]"
912d2b1c7b2826caf99687388d2e8f7c,لپ تاپ اچ پی دی وی 6-1235,,"[""4b7016467f9fa9be076d0d855a8ad553fb2d5a7d_1674386134"", 1, 2500, 2500, ""jpg"", [3], []]"
a1d33d0dfec820b41b54430b50e96b5c,لپ تاپ اچ پی دی وی 6-1225,,"[""ec89fe6969779b406f96eb1ce22448ebe44a2ffc_1674386140"", 1, 2500, 2500, ""jpg"", [3], []]"
2ca65f58e35d9ad45bf7f3ae5cfd08f1,لپ تاپ اچ پی دی وی 6-1105,,"[""1b6c0e2e8c8a6df7a7f6529cf2e83a051765125e_1674386173"", 1, 2500, 2500, ""jpg"", [3], []]"
06997f04a7db92466a2baa6ebc8b872d,لپ تاپ اچ پی دی وی 6-1115,,"[""f20780ce36f5fb9e076a5bf1f57baefab5a7b803_1674386197"", 1, 2500, 2500, ""jpg"", [3], []]"
eefc9e10ebdc4a2333b42b2dbb8f27b6,لپ تاپ اچ پی دی وی 6-1103,,"[""6a7171b299d53ee220a788dbb2bd852f1373dd10_1674386202"", 1, 2500, 2500, ""jpg"", [3], []]"
d840cc5d906c3e9c84374c8919d2074e,گوشی موبایل نوکیا 5235 کامز ویت موزیک,,"[362, 1, 180, 220, ""jpg"", [3], []]"
288cc0ff022877bd3df94bc9360b9c5d,گوشی موبایل نوکیا 2710 نویگیشن ادیشن,,"[260, 1, 180, 220, ""jpg"", [3], []]"
4ea06fbc83cdd0a06020c35d50e1e89a,گوشی موبایل نوکیا 6700 اسلاید,,"[239, 1, 180, 220, ""jpg"", [3], []]"
e57c6b956a6521b28495f2886ca0977a,گوشی موبایل نوکیا 7230,,"[335, 1, 180, 220, ""jpg"", [3], []]"
4e0928de075538c593fbdabb0c5ef2c3,گوشی موبایل نوکیا 5330 موبایل تی وی ادیشن,,"[1648, 1, 180, 220, ""jpg"", [3], []]"
c0f168ce8900fa56e57789e2a2f2c9d0,لپ تاپ اچ پی دی وی 6-1243,,"[""9ef1a09465d015b2cf5c6dc179d65ed1d257bfca_1674386220"", 1, 2500, 2500, ""jpg"", [3], []]"
8c6744c9d42ec2cb9e8885b54ff744d0,لپ تاپ اچ پی دی وی 6-2005,,"[""463dd0a0de45268d40e51dd8ae128966847b55cd_1674386225"", 1, 2500, 2500, ""jpg"", [3], []]"
f1c1592588411002af340cbaedd6fc33,لپ تاپ اچ پی دی وی 6-1350,,"[""f0412c2b7922f02f0e536a778912067b1596ee1c_1674386230"", 1, 2500, 2500, ""jpg"", [3], []]"
e07413354875be01a996dc560274708e,لپ تاپ اچ پی دی وی 6-1354,,"[""300753951cc8655c43f4e60394771798052cec7d_1674386235"", 1, 2500, 2500, ""jpg"", [3], []]"
67d96d458abdef21792e6d8e590244e7,لپ تاپ اچ پی دی وی 6-1280,,"[""54c5858d0f00dd91dc604a32acaf9c7d49243c86_1674386244"", 1, 2500, 2500, ""jpg"", [3], []]"
72da7fd6d1302c0a159f6436d01e9eb0,لپ تاپ اچ پی دی وی 6-2020,,"[""dda131b241fc5f8d89e8a527bb3ca06e98ad949c_1674386255"", 1, 2500, 2500, ""jpg"", [3], []]"
fc8001f834f6a5f0561080d134d53d29,گوشی موبایل نوکیا ان 97 مینی,,"[1519, 1, 180, 220, ""jpg"", [3], []]"
c15da1f2b5e5ed6e6837a3802f0d1593,گوشی موبایل نوکیا ان 900,,"[1684, 1, 180, 220, ""jpg"", [3], []]"
2dace78f80bc92e6d7493423d729448e,لپ تاپ اچ پی دی وی 7-2173,,"[""1aa5af387e4225aa58c3fc60d3d095647af5cd3b_1672664012"", 1, 2500, 2500, ""jpg"", [3], []]"
96ea64f3a1aa2fd00c72faacf0cb8ac9,لپ تاپ اچ پی دی وی 7-1273,,"[""ebc450f8f3be0374008ac9ecd909a4938741037c_1672664020"", 1, 2500, 2500, ""jpg"", [3], []]"
da8ce53cf0240070ce6c69c48cd588ee,گوشی موبایل نوکیا ایکس 6 - 32 گیگابایت,,"[1612, 1, 180, 220, ""jpg"", [3], []]"
82489c9737cc245530c7a6ebef3753ec,گوشی موبایل نوکیا ایکس 3,,"[1663, 1, 180, 220, ""jpg"", [3], []]"
9e3cfc48eccf81a0d57663e129aef3cb,گوشی موبایل نوکیا 5230,,"[278, 1, 180, 220, ""jpg"", [3], []]"
670e8a43b246801ca1eaca97b3e19189,لپ تاپ اچ پی تاچ اسمارت تی ایکس 2-2530,,"[1602, 1, 220, 180, ""jpg"", [3], []]"
81e74d678581a3bb7a720b019f4f1a93,لپ تاپ اچ پی تاچ اسمارت تی ایکس 2-2675,,"[1421, 1, 220, 180, ""jpg"", [3], []]"
e0cf1f47118daebc5b16269099ad7347,لپ تاپ اچ پی تاچ اسمارت تی ایکس 2-1105,,"[1661, 1, 220, 180, ""jpg"", [3], []]"
96b9bff013acedfb1d140579e2fbeb63,لپ تاپ اچ پی تاچ اسمارت تی ایکس 2-1020,,"[1605, 1, 220, 180, ""jpg"", [3], []]"
31839b036f63806cba3f47b93af8ccb5,لپ تاپ دل وسترو 1520-B,,"[1717, 1, 220, 180, ""jpg"", [3], []]"
f0adc8838f4bdedde4ec2cfad0515589,لپ تاپ دل وسترو 1520-C,,"[275, 1, 220, 180, ""jpg"", [3], []]"
3b5dca501ee1e6d8cd7b905f4e1bf723,لپ تاپ دل وسترو 1520-D,,"[1458, 1, 220, 180, ""jpg"", [3], []]"
e2a2dcc36a08a345332c751b2f2e476c,لپ تاپ دل وسترو 1520-E,,"[421, 1, 220, 180, ""jpg"", [3], []]"
